listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number_of_Forks,contributed_forks,merge_to_fork_ratio,Merge_Frequency,Fork_Frequency,contributors_count,project_size
160,metamodel,1,https://github.com/apache/MetaModel,https://github.com/apache/MetaModel,True,6/12/2013,11/20/2014,526.0,4,1,0.25,0.0019011406844106,0.0076045627376425,34,Medium
161,metron,1,https://github.com/apache/Metron,https://github.com/apache/Metron,True,12/6/2015,4/19/2017,500.0,156,45,0.288461538461538,0.09,0.312,60,Medium
162,mnemonic,1,https://github.com/apache/Mnemonic,https://github.com/apache/Mnemonic,True,3/3/2016,11/15/2017,622.0,32,12,0.375,0.0192926045016077,0.0514469453376206,24,Medium
167,mynewt,1,https://github.com/apache/Mynewt,https://github.com/apache/mynewt-core,True,10/20/2015,6/21/2017,610.0,78,38,0.487179487179487,0.0622950819672131,0.127868852459016,123,Large
168,netbeans,1,https://github.com/apache/NetBeans,https://github.com/apache/NetBeans,True,10/1/2016,4/17/2019,928.0,216,71,0.328703703703704,0.0765086206896552,0.232758620689655,211,Large
169,nifi,1,https://github.com/apache/NiFi,https://github.com/apache/NiFi,True,11/24/2014,7/15/2015,233.0,35,19,0.542857142857143,0.0815450643776824,0.150214592274678,313,Large
178,oozie,1,https://github.com/apache/Oozie,https://github.com/apache/Oozie,True,7/11/2011,8/28/2012,414.0,11,0,0.0,0.0,0.0265700483091787,17,Small
183,opennlp,1,https://github.com/apache/OpenNLP,https://github.com/apache/OpenNLP,True,11/23/2010,2/15/2012,449.0,2,0,0.0,0.0,0.0044543429844098,49,Medium
186,openwhisk,1,https://github.com/apache/OpenWhisk,https://github.com/apache/OpenWhisk,True,11/23/2016,7/17/2019,966.0,673,145,0.215453194650817,0.150103519668737,0.696687370600414,192,Large
187,parquet,1,https://github.com/apache/Parquet,https://github.com/apache/parquet-mr,True,5/20/2014,4/22/2015,337.0,82,23,0.280487804878049,0.0682492581602374,0.243323442136499,200,Large
192,plc4x,1,https://github.com/apache/PLC4X,https://github.com/apache/PLC4X,True,12/18/2017,4/17/2019,485.0,22,13,0.590909090909091,0.0268041237113402,0.045360824742268,77,Large
194,predictionio,1,https://github.com/apache/PredictionIO,https://github.com/apache/PredictionIO,True,5/26/2016,10/18/2017,510.0,1399,239,0.170836311651179,0.468627450980392,2.74313725490196,131,Large
195,pulsar,1,https://github.com/apache/Pulsar,https://github.com/apache/Pulsar,True,6/1/2017,9/19/2018,475.0,349,59,0.169054441260745,0.124210526315789,0.734736842105263,368,Large
197,ranger,1,https://github.com/apache/Ranger,https://github.com/apache/Ranger,True,7/24/2014,1/18/2017,909.0,80,0,0.0,0.0,0.088008800880088,125,Large
200,reef,1,https://github.com/apache/REEF,https://github.com/apache/REEF,True,8/12/2014,11/18/2015,463.0,25,4,0.16,0.0086393088552915,0.0539956803455724,65,Medium
