listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,count,average_length,number_active_senders,frequency
226,systemml,1,https://github.com/apache/SystemML,https://github.com/apache/SystemML,TRUE,11/2/2015,5/18/2017,3754,3990.741076185400,14,3.989373007438900
227,tajo,1,https://github.com/apache/Tajo,https://github.com/apache/Tajo,TRUE,3/7/2013,4/1/2014,1826,3614.0755750273800,10,1.479740680713130
229,tez,1,https://github.com/apache/Tez,https://github.com/apache/Tez,TRUE,2/24/2013,7/16/2014,8392,1804.8050524308900,24,12.251094890510900
230,thrift,1,https://github.com/apache/Thrift,https://github.com/apache/Thrift,TRUE,4/18/2008,10/20/2010,10966,1880.9749224876900,35,21.41796875
232,tinkerpop,1,https://github.com/apache/TinkerPop,https://github.com/apache/TinkerPop,TRUE,1/16/2015,5/23/2016,2707,1719.683020006030,10,8.227963525835870
234,trafficcontrol,1,https://github.com/apache/TrafficControl,https://github.com/apache/TrafficControl,TRUE,7/12/2016,5/16/2018,2584,1941.208496221010,6,1.909830007390980
236,trafodion,1,https://github.com/apache/Trafodion,https://github.com/apache/Trafodion,TRUE,5/24/2015,12/20/2017,1067,1694.5148644233900,7,0.5811546840958610
241,unomi,1,https://github.com/apache/Unomi,https://github.com/apache/Unomi,TRUE,10/5/2015,2/20/2019,3183,1693.4650986342900,9,6.874730021598270
242,usergrid,1,https://github.com/apache/Usergrid,https://github.com/apache/Usergrid,TRUE,10/3/2013,8/19/2015,9522,1917.2343261574800,25,32.16891891891890
252,zeppelin,1,https://github.com/apache/Zeppelin,https://github.com/apache/Zeppelin,TRUE,12/23/2014,5/18/2016,4614,1955.678094478770,25,3.543778801843320
254,alois,2,https://github.com/apache/Alois,https://github.com/logintas/alois,TRUE,9/21/2010,6/30/2011,5306,2647.7184319638100,14,2.9576365663322200
256,ariatosca,2,https://github.com/apache/AriaTosca,https://github.com/apache/incubator-ariatosca,TRUE,8/27/2016,7/1/2018,227,2359.3348017621100,1,1.1701030927835100
260,blur,2,https://github.com/apache/Blur,https://github.com/apache/incubator-retired-blur,TRUE,7/24/2012,6/22/2017,1500,2426.6666666666700,6,4.335260115606940
263,concerted,2,https://github.com/apache/Concerted,https://github.com/apache/incubator-retired-concerted,TRUE,10/14/2015,4/25/2016,4715,1849.9317073170700,17,5.097297297297300
264,corinthia,2,https://github.com/apache/Corinthia,https://github.com/apache/incubator-retired-corinthia,TRUE,12/8/2014,11/19/2015,1376,2230.9258720930200,5,1.6284023668639100
265,cotton,2,https://github.com/apache/Cotton,https://github.com/apache/incubator-retired-cotton,TRUE,6/1/2015,12/1/2015,727,2336.188445667130,3,0.9654714475431610
268,gearpump,2,https://github.com/apache/Gearpump,https://github.com/gearpump/gearpump,TRUE,3/8/2016,9/19/2018,715,1801.6909090909100,4,0.9445178335535010
269,gossip,2,https://github.com/apache/Gossip,https://github.com/apache/incubator-retired-gossip,TRUE,4/28/2016,8/21/2018,513,1231.460038986360,2,0.3413173652694610
271,hdt,2,https://github.com/apache/incubator-retired-hdt,https://github.com/apache/incubator-retired-hdt,TRUE,11/9/2012,12/2/2014,1110,1768.445045045050,6,0.685608400247066
274,horn,2,https://github.com/apache/HORN,https://github.com/apache/incubator-retired-horn,TRUE,9/4/2015,7/13/2017,3440,2277.5668604651200,10,2.097560975609760
275,htrace,2,https://github.com/apache/incubator-retired-htrace,https://github.com/apache/incubator-retired-htrace,TRUE,11/11/2014,4/11/2018,49,6221.244897959180,0,0.0183177570093457
277,iota,2,https://github.com/apache/iota,https://github.com/apache/incubator-retired-iota,TRUE,1/20/2016,2/15/2018,500,2748.168,3,0.8561643835616440
280,kalumet,2,https://github.com/apache/Kalumet,https://github.com/apache/Kalumet,TRUE,9/20/2011,11/1/2015,2442,1997.2502047502000,12,8.032894736842100
285,mrql,2,https://github.com/apache/MRQL,https://github.com/apache/incubator-retired-mrql,TRUE,3/13/2013,8/18/2017,428,3474.8995327102800,2,1.646153846153850
