listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number of Direct Forks,Merged_Forks,merge-to-fork ratio,Merge_Frequency,Fork_Frequency
80,click,1,https://github.com/apache/Click,https://github.com/apache/Click,TRUE,7/21/2008,11/18/2009,485.0,0,0,0.0,0.0,0.0
81,cloudstack,1,https://github.com/apache/CloudStack,https://github.com/apache/CloudStack,TRUE,4/16/2012,3/20/2013,338.0,0,0,0.0,0.0,0.0
82,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,TRUE,3/6/2015,11/28/2016,633.0,10,3,0.3,0.004739336492891000,0.01579778830963670
83,cordova,1,https://github.com/apache/Cordova,https://github.com/apache/Cordova,TRUE,10/15/2011,10/17/2012,368.0,0,0,0.0,0.0,0.0
84,couchdb,1,https://github.com/apache/CouchDB,https://github.com/apache/CouchDB,TRUE,2/12/2008,11/19/2008,281.0,0,0,0.0,0.0,0.0
85,crunch,1,https://github.com/apache/Crunch,https://github.com/apache/Crunch,TRUE,5/26/2012,2/20/2013,270.0,0,0,0.0,0.0,0.0
87,curator,1,https://github.com/apache/Curator,https://github.com/apache/Curator,TRUE,3/11/2013,9/1/2013,174.0,0,0,0.0,0.0,0.0
88,cxf,1,https://github.com/apache/CXF,https://github.com/apache/CXF,TRUE,8/15/2006,4/16/2008,610.0,0,0,0.0,0.0,0.0
89,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,TRUE,1/5/2014,2/21/2018,1508.0,46,0,0.0,0.0,0.03050397877984090
90,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,TRUE,5/19/2010,10/26/2011,525.0,3,0,0.0,0.0,0.005714285714285710
91,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,TRUE,12/7/2011,5/28/2013,538.0,0,0,0.0,0.0,0.0
92,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,TRUE,8/15/2004,7/18/2005,337.0,0,0,0.0,0.0,0.0
93,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,TRUE,1/3/2012,11/19/2014,1051.0,0,0,0.0,0.0,0.0
94,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,TRUE,10/5/2011,8/15/2012,315.0,4,0,0.0,0.0,0.012698412698412700
95,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,TRUE,10/23/2003,2/23/2005,489.0,0,0,0.0,0.0,0.0
96,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,TRUE,6/24/2016,7/1/2017,372.0,27,0,0.0,0.0,0.07258064516129030
97,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,TRUE,8/11/2012,11/19/2014,830.0,122,3,0.0245901639344262,0.0036144578313253000,0.14698795180722900
98,dubbo,1,https://github.com/apache/Dubbo,https://github.com/apache/Dubbo,TRUE,2/16/2018,5/15/2019,453.0,12933,0,0.0,0.0,28.549668874172200
99,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,TRUE,10/26/2015,12/21/2016,422.0,73,1,0.0136986301369863,0.002369668246445500,0.17298578199052100
100,easyant,1,https://github.com/apache/EasyAnt,https://github.com/apache/ant-easyant-core,TRUE,1/31/2011,3/12/2013,771.0,0,0,0.0,0.0,0.0
101,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,TRUE,7/8/2008,1/24/2012,1295.0,1,0,0.0,0.0,0.0007722007722007720
102,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,TRUE,12/2/2008,12/15/2010,743.0,2,0,0.0,0.0,0.0026917900403768500
103,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,TRUE,9/2/2008,1/16/2013,1597.0,1,0,0.0,0.0,0.0006261740763932370
104,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,TRUE,3/27/2013,12/17/2014,630.0,21,0,0.0,0.0,0.03333333333333330
105,felix,1,https://github.com/apache/Felix,https://github.com/apache/Felix,TRUE,7/19/2005,4/1/2007,621.0,0,0,0.0,0.0,0.0
106,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,TRUE,12/15/2015,4/19/2017,491.0,121,22,0.1818181818181820,0.04480651731160900,0.24643584521384900
107,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,TRUE,12/30/2011,12/19/2012,355.0,2,0,0.0,0.0,0.005633802816901410
108,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,TRUE,4/14/2014,12/17/2014,247.0,60,5,0.0833333333333333,0.020242914979757100,0.242914979757085
109,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,TRUE,6/13/2011,6/20/2012,373.0,15,0,0.0,0.0,0.040214477211796200
110,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,TRUE,5/17/2016,7/19/2017,428.0,9,7,0.7777777777777780,0.016355140186915900,0.02102803738317760
111,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,TRUE,7/1/2015,3/21/2018,994.0,68,6,0.088235294117647,0.006036217303822940,0.06841046277666000
112,ftpserver,1,https://github.com/apache/FtpServer,https://github.com/apache/FtpServer,TRUE,3/29/2003,12/18/2007,1725.0,0,0,0.0,0.0,0.0
113,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,TRUE,4/27/2015,11/16/2016,569.0,190,12,0.0631578947368421,0.0210896309314587,0.3339191564147630
114,geronimo,1,https://github.com/apache/Geronimo,https://github.com/apache/Geronimo,TRUE,8/6/2003,5/26/2004,294.0,0,0,0.0,0.0,0.0
115,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,TRUE,8/1/2011,5/16/2012,289.0,10,0,0.0,0.0,0.03460207612456750
116,gora,1,https://github.com/apache/Gora,https://github.com/apache/Gora,TRUE,9/26/2010,1/15/2012,476.0,0,0,0.0,0.0,0.0
117,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,TRUE,12/5/2016,11/21/2018,716.0,122,0,0.0,0.0,0.17039106145251400
118,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,TRUE,3/17/2015,11/18/2015,246.0,140,2,0.0142857142857142,0.008130081300813010,0.5691056910569110
119,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,TRUE,2/10/2016,11/15/2017,644.0,84,8,0.0952380952380952,0.012422360248447200,0.13043478260869600
120,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,TRUE,5/20/2008,5/16/2012,1457.0,1,0,0.0,0.0,0.0006863417982155110
121,harmony,1,https://github.com/apache/Harmony,https://github.com/apache/Harmony,TRUE,5/18/2005,10/29/2006,529.0,0,0,0.0,0.0,0.0
122,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,TRUE,9/4/2015,8/15/2018,1076.0,190,34,0.1789473684210530,0.031598513011152400,0.17657992565055800
123,hcatalog,1,https://github.com/apache/HCatalog,https://github.com/apache/HCatalog,TRUE,3/14/2011,2/13/2013,702.0,12,0,0.0,0.0,0.017094017094017100
124,helix,1,https://github.com/apache/Helix,https://github.com/apache/Helix,TRUE,10/14/2012,12/18/2013,430.0,0,0,0.0,0.0,0.0
125,hermes,1,https://github.com/apache/Hermes,https://github.com/allegro/hermes,TRUE,11/8/2004,6/3/2005,207.0,0,0,0.0,0.0,0.0
126,httpd-cli,1,https://github.com/apache/httpd-CLI,https://github.com/apache/httpd,TRUE,7/15/2004,12/16/2004,154.0,0,0,0.0,0.0,0.0
127,ibatis,1,https://github.com/apache/iBATIS,https://github.com/mybatis/mybatis-3,TRUE,8/16/2004,4/27/2005,254.0,0,0,0.0,0.0,0.0
128,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,TRUE,10/1/2014,9/18/2015,352.0,54,0,0.0,0.0,0.1534090909090910
129,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,TRUE,12/3/2015,11/15/2017,713.0,50,0,0.0,0.0,0.07012622720897620
130,isis,1,https://github.com/apache/Isis,https://github.com/apache/Isis,TRUE,9/7/2010,10/17/2012,771.0,0,0,0.0,0.0,0.0
131,ivy,1,https://github.com/apache/Ivy,https://github.com/apache/ant-ivy,TRUE,10/23/2006,10/11/2007,353.0,0,0,0.0,0.0,0.0
132,jackrabbit,1,https://github.com/apache/Jackrabbit,https://github.com/apache/Jackrabbit,TRUE,8/28/2004,3/15/2006,564.0,0,0,0.0,0.0,0.0
134,jclouds,1,https://github.com/apache/jclouds,https://github.com/apache/jclouds,TRUE,4/29/2013,10/16/2013,170.0,0,0,0.0,0.0,0.0
135,jdo,1,https://github.com/apache/JDO,https://github.com/apache/db-jdo,TRUE,5/18/2005,12/9/2005,205.0,0,0,0.0,0.0,0.0
136,jena,1,https://github.com/apache/Jena,https://github.com/apache/Jena,TRUE,11/23/2010,4/18/2012,512.0,0,0,0.0,0.0,0.0
137,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,TRUE,6/9/2014,4/20/2016,681.0,8,0,0.0,0.0,0.011747430249632900
138,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,TRUE,2/13/2016,10/17/2018,977.0,45,12,0.2666666666666670,0.012282497441146400,0.04605936540429890
